year,commodity,min_price,max_price,avg_price,count
2022,Bawang Merah,27370.303030303032,65451.51515151515,37451.72911263907,11241
2022,Bawang Putih Bonggol,25158.484848484848,34300.606060606064,28968.4851736697,11241
2022,Beras Medium,10636.060606060606,11905.454545454546,11158.137656714976,11241
2022,Beras Premium,12184.848484848484,13523.636363636364,12741.825418041171,11241
2022,Cabai Merah Keriting,29330.303030303032,86710.60606060606,48815.33619046707,11239
2022,Cabai Rawit Merah,36437.878787878784,101353.33333333333,58312.43349366718,10940
2022,Daging Ayam Ras,32544.242424242424,43794.545454545456,37139.61297883699,11241
2022,Daging Sapi Murni,124353.0303030303,149249.69696969696,133919.8301045431,11241
2022,Gula Konsumsi,13319.39393939394,15191.818181818182,14503.347971786832,11241
2022,Minyak Goreng Curah,13431.818181818182,20694.848484848484,15220.542373197115,7227
2022,Minyak Goreng Kemasan Sederhana,16295.151515151516,26673.636363636364,20249.98084022899,11193
2022,Telur Ayam Ras,23276.363636363636,32591.21212121212,27796.964380563382,11241
2022,Tepung Terigu (Curah),8658.181818181818,11689.69696969697,10316.922551170426,11241
2023,Bawang Merah,23373.333333333332,44880.30303030303,34716.49409926689,12402
2023,Bawang Putih Bonggol,27000.303030303032,43585.15151515151,35979.83610981598,12402
2023,Beras Medium,11340.0,13889.09090909091,12481.167235605591,12402
2023,Beras Premium,13033.030303030304,15668.484848484848,14252.710072728507,12402
2023,Cabai Merah Keriting,28386.060606060608,82099.39393939394,46703.92994522311,12401
2023,Cabai Rawit Merah,32432.424242424244,104173.63636363637,55633.07138547327,12045
2023,Daging Ayam Ras,32647.878787878788,42555.15151515151,36899.07750214345,12402
2023,Daging Sapi Murni,132730.9090909091,150153.63636363635,138054.85752988467,12401
2023,Gula Konsumsi,14169.39393939394,17952.727272727272,15222.683622829994,12402
2023,Minyak Goreng Curah,13880.0,16820.0,15157.102165665206,12397
2023,Minyak Goreng Kemasan Sederhana,16471.515151515152,19652.424242424244,18004.25355604114,12402
2023,Telur Ayam Ras,27170.909090909092,33094.242424242424,30044.904035301126,12402
2023,Tepung Terigu (Curah),10542.424242424242,12101.515151515152,11297.764865318644,12402
2024,Bawang Merah,25774.242424242424,56775.757575757576,37995.6689999976,9252
2024,Bawang Putih Bonggol,37170.0,47720.606060606064,41776.38517578769,9252
2024,Beras Medium,12827.575757575758,15130.90909090909,13872.383089119196,9252
2024,Beras Premium,14834.848484848484,17157.878787878788,15917.233290304046,9252
2024,Cabai Merah Keriting,31240.909090909092,85459.09090909091,51600.675442053056,9252
2024,Cabai Rawit Merah,35645.757575757576,92790.60606060606,57689.31226599467,9116
2024,Daging Ayam Ras,33708.48484848485,43666.06060606061,37853.11817683525,9252
2024,Daging Sapi Murni,131640.0,149128.18181818182,137109.60626781007,9249
2024,Gula Konsumsi,17020.0,19075.454545454544,17984.31279063632,9252
2024,Minyak Goreng Curah,14204.848484848484,17484.545454545456,16064.475260961188,9075
2024,Minyak Goreng Kemasan Sederhana,16786.666666666668,19453.030303030304,18029.266323411823,9252
2024,Telur Ayam Ras,27968.78787878788,34671.818181818184,30595.296766851312,9252
2024,Tepung Terigu (Curah),9961.818181818182,11739.39393939394,10667.765558198256,9251
